idBo,Ten_KH,Ten_TV,Mo_ta
1,Acorales,Thạch xương bồ,"Bộ Xương bồ (danh pháp khoa học: Acorales) là một bộ trong thực vật có hoa một lá mầm, chứa một họ duy nhất là họ Xương bồ (Acoraceae) với một chi duy nhất là chi Xương bồ (Acorus) gồm khoảng từ 2-4 tới 7-9 loài, tùy theo nguồn dữ liệu.Chi Xương bồ theo truyền thống được đặt trong họ Ráy (Araceae). Tuy nhiên, các nghiên cứu hệ thống hóa phân tử gần đây cho rằng các loài xương bồ không có quan hệ họ hàng gần với họ Araceae hay bất kỳ họ thực vật một lá mầm nào khác, đã dẫn các nhà hệ thống hóa thực vật tới việc đặt chi này vào họ/bộ riêng của chính nó. Việc xếp đặt này hiện tại thiếu sự hỗ trợ từ các nghiên cứu hình thái học thực vật truyền thống, và một số nhà phân loại học vẫn đặt nó trong một phân họ của họ Ráy, thuộc về bộ Trạch tả (Alismatales).Hệ thống APG II năm 2003 công nhận bộ này, ngắt nó ra khỏi bộ Alismatales và coi nó như là một nhóm có quan hệ chị em với tất cả các thực vật một lá mầm còn lại."
2,Alismatales,Trạch tả,"Bộ Trạch tả là một bộ thực vật có hoa. Bộ này trong bất kỳ hệ thống phân loại nào đều bắt buộc phải có họ Trạch tả (Alismataceae).Hệ thống APG II năm 2003 (không thay đổi từ hệ thống APG năm 1998) gắn bộ này vào nhánh monocots (thực vật một lá mầm) gồm các họ:          Họ Alismataceae - trạch tả (mã đề nước)
          Họ Aponogetonaceae - thủy ung
          Họ Araceae - ráy, khoai môn, khoai nước, thiên nam tinh
          Họ Butomaceae - cỏ lận
          Họ Cymodoceaceae - cỏ kiệu, cỏ năn, cỏ đốt tre, cỏ hẹ
          Họ Hydrocharitaceae - lá sắn, cỏ nhật, tóc tiên nước
          Họ Juncaginaceae - thủy mạch đông
          Họ Limnocharitaceae - nê thảo (kèo lèo, cù nèo)
          Họ Posidoniaceae - cỏ biển (tên gọi này chia sẻ với các họ khác như Cymodoceaceae, Hydrocharitaceae, Ruppiaceae, Zosteraceae)
          Họ Potamogetonaceae - rong mái chèo
          Họ Ruppiaceae - cỏ kim
          Họ Scheuchzeriaceae - cỏ băng chiểu
          Họ Tofieldiaceae - nham xương bồ
          Họ Zosteraceae - rong lá lớnTheo định nghĩa này thì bộ Trạch tả bao gồm 4.490 loài trong 166 chi của 14 họ[1], tuy nhiên hiện tại đã sáp nhập họ Limnocharitaceae vào trong họ Alismataceae, với sự phân bổ rộng khắp thế giới. Phần lớn các họ là các loài cây thân thảo, hay được tìm thấy trong các môi trường nước. Hoa của chúng thường được sắp xếp thành cụm hoa và các hạt chín thiếu nội nhũ.Sự lệch hướng lớn nhất từ các hệ thống phân loại cũ (xem dưới đây) là việc đưa vào của họ Araceae. Khi thêm họ này vào thì bộ Trạch tả được tăng lên đáng kể về số lượng loài. Một mình họ Araceae chứa khoảng 106 chi với khoảng 4.025 loài[2] trong khi các họ còn lại cùng nhau chỉ có chưa tới 500 loài.Hệ thống Cronquist năm 1981 đặt bộ này trong phân lớp Trạch tả (Alismatidae) của lớp thực vật một lá mầm (Liliopsida) gồm các họ:          Họ Alismataceae
          Họ Butomaceae
          Họ LimnocharitaceaePhân lớp Trạch tả của hệ thống Cronquist khá phù hợp với bộ Alismatales theo định nghĩa của APG, trừ đi họ Araceae.Hệ thống Dahlgren đặt bộ này trong siêu bộ Alismatanae thuộc phân lớp Liliidae trong lớp Magnoliopsida, gồm các họ:          Họ Alismataceae
          Họ Aponogetonaceae
          Họ Butomaceae
          Họ Hydrocharitaceae
          Họ LimnocharitaceaeSiêu bộ Alismatanae trong hệ thống Dahlgren khá phù hợp với bộ Alismatales theo định nghĩa của APG, trừ đi họ Araceae.Hệ thống Wettstein, phiên bản cuối vào năm 1935, hay hệ thống Engler, cập nhật năm 1964, sử dụng tên gọi Helobiae cho bộ này."
3,Apiales,Tiêu,"Bộ Hoa tán (danh pháp khoa học: Apiales) là một bộ thực vật có hoa. Các họ được đưa ra tại đây là điển hình trong các hệ thống phân loại mới nhất, mặc dù vẫn còn có sự dao động không lớn, cụ thể là họ Torriceliaceae có thể vẫn được chia ra tiếp. Các họ này được đặt trong phạm vi của phân nhóm Cúc  trong lớp Magnoliopsida.Bộ Hoa tán chiếm khoảng 2,4% sự đa dạng của thực vật hai lá mầm thật sự (Magallón và ctv. 1999). Wikström và ctv. (2001) cho rằng bộ này xuất hiện vào khoảng 85-90 triệu năm trước (Ma), trong tầng Santon-Turon, với sự phân hóa thành các họ Apiaceae-Araliaceae diễn ra vào khoảng 46-48 Ma, mặc dù các chi tiết về các quan hệ trong phạm vi nhánh là khác với những gì APG đề xuất.Trong hệ thống Cronquist, chỉ có các họ Apiaceae và Araliaceae được đưa vào trong bộ này và bộ bị giới hạn này được đặt trong nhóm Hoa hồng chứ không phải nhóm Cúc. Họ Pittosporaceae đã được đặt trong bộ Hoa hồng (Rosales) và tất cả những họ còn lại nằm trong phạm vi họ Sơn thù du (Cornaceae) của bộ Sơn thù du (Cornales). "
4,Arecales,Cau,"Bộ Cau (danh pháp khoa học: Arecales) là một bộ trong thực vật có hoa. Bộ này được công nhận rộng rãi chỉ trong vài chục năm gần đây; cho đến trước đó, tên gọi được chấp nhận cho bộ bao gồm các loài thực vật trong bộ Cau mới đặt ra này là Principes.Hệ thống APG II năm 2003 công nhận bộ này và đặt nó trong nhánh Thài lài (commelinids) của thực vật một lá mầm và sử dụng định nghĩa sau:    * Bộ Arecales          Họ Arecaceae, tên gọi khác PalmaeĐịnh nghĩa này là không thay đổi so với hệ thống APG năm 1998, mặc dù khi đó người ta dùng từ ""commelinoids"" thay vì commelinids. Theo Website của nhóm APG thì bộ này chứa 189 chi với khoảng 2.361 loài.Hệ thống Cronquist năm 1981 cũng tương tự ở cấp độ họ và bộ, nhưng đặt bộ này trong phân lớp Arecidae của lớp Liliopsida.Hệ thống Thorne (1992) và hệ thống Dahlgren tương tự như vậy nhưng đặt bộ này vào siêu bộ Arecanae trong phân lớp Liliidae (= thực vật một lá mầm)."
5,Asparagales,Thiên môn đông,"Bộ Măng tây hay bộ Thiên môn đông (danh pháp khoa học: Asparagales) là một bộ trong lớp thực vật một lá mầm bao gồm một số họ cây không thân gỗ. Trong các hệ thống phân loại cũ, các họ mà hiện nay đưa vào trong bộ Asparagales đã từng được đưa vào trong bộ Liliales (loa kèn), và một số chi trong đó thậm chí còn được đưa vào trong họ Loa kèn (Liliaceae). Một số hệ thống phân loại còn tách một số họ được liệt kê dưới đây thành các bộ khác, bao gồm cả các bộ Orchidales (lan) và bộ Iridales (diên vĩ), trong khi các hệ thống khác, đặc biệt là hệ thống phân loại của APG  lại đưa hai bộ Orchidales và Iridales vào trong bộ Asparagales. Bộ này được đặt tên theo chi Asparagus (măng tây, thiên môn đông).
Hệ thống phân loại của Angiosperm Phylogeny Group được các nhà thực vật học sử dụng rộng rãi và đã được cập nhật thành APG II năm 2003 để thêm vào các nghiên cứu gần đây, đặc biệt là các nghiên cứu phân tích ADN. Sơ đồ năm 1998 xác định 29 họ trong bộ Asparagales. APG II hợp nhất một số họ và thừa nhận một hệ thống khác với ít số lượng họ nhưng họ lại lớn hơn, trong đó một số họ nhỏ có thể kết hợp lại thành các họ lớn hơn, dựa trên sự tương thích di truyền gần gũi hơn và vẫn tuân thủ 'hệ thống APG', cho rằng họ này chứa 16-24 họ với 1.122 chi và khoảng 26.070 loài. Ví dụ, theo hệ thống phân loại mới hơn này thì người ta có thể đưa chính xác cây hoa hiên hay cây kim châm (chi Hemerocallis) vào họ Hemerocallidaceae, hoặc vào họ Xanthorrhoeaceae. Phân loại của APG II về bộ Asparagales như sau:    * Alliaceae, có thể tách riêng hai họ:
          o Agapanthaceae
          o Amaryllidaceae
    * Asparagaceae, có thể tách riêng thành bảy họ khác nữa:
          o Agavaceae
          o Aphyllanthaceae
          o Hesperocallidaceae
          o Hyacinthaceae
          o Laxmanniaceae
          o Ruscaceae
          o Themidaceae
    * Asteliaceae
    * Blandfordiaceae
    * Boryaceae
    * Doryanthaceae
    * Hypoxidaceae
    * Iridaceae
    * Ixioliriaceae
    * Lanariaceae
    * Orchidaceae
    * Tecophilaeaceae
    * Xanthorrhoeaceae
          o Asphodelaceae
          o Hemerocallidaceae
    * XeronemataceaeCác hệ thống ba bộCác hệ thống phân loại tách ba bộ Asparagales (măng tây), Orchidales (lan) và Iridales (diên vĩ) nói chung được sắp xếp như sau:    * Bộ Asparagales, theo nghĩa hẹp (sensu stricto)
          o Họ Agavaceae (họ thùa)
                + Thùa
                + Ngọc giá
          o Họ Alliaceae (họ hành)
                + Hành tăm
                + Tỏi
                + Hành
          o Họ Amaryllidaceae (họ loa kèn đỏ)
          o Họ Asparagaceae (họ măng tây)
          o Họ Asphodelaceae (họ lan nhật quang)
                + Lô hội
                + Lan nhật quang
          o Họ Hyacinthaceae (họ lan dạ hương)
                + Hoa chuông lam
                + Lan dạ hương
          o Cetera
    * Bộ Orchidales
          o Họ Burmanniaceae
          o Họ Corsiaceae
          o Họ Geosiridaceae
          o Họ Orchidaceae (lan)
    * Bộ Iridales
          o Họ Iridaceae (họ diên vĩ, lay ơn)
Hệ thống Cronquist không công nhận bộ này, đặt nhiều chi trong bộ Liliales (phân lớp Liliidae của lớp Liliopsida [= thực vật một lá mầm]). Một số chi được đặt trong họ Liliaceae."
6,Aspleniales,Tổ điểu,
7,Asterales,Cúc,"Bộ Cúc hay bộ hoa Cúc hoặc bộ Hướng dương (danh pháp khoa học: Asterales) là một bộ thực vật có hoa bao gồm họ phức hợp là họ Cúc (Asteraceae) (hướng dương và hoa cúc) và các họ có quan hệ gần khác.Bộ này phân bổ rộng khắp thế giới và chủ yếu là các loài cây thân thảo, mặc dù có một lượng nhỏ là cây thân gỗ (chi Lobelia) và cây bụi.Bộ Asterales có thể được đặc trưng ở mức độ phân tử và hình thái học. Các đặc điểm chung bao gồm nhóm các oligosacarit nguồn gốc tự nhiên (các phân tử đường sacaroza liên kết với nhau) như là nơi lưu trữ chất dinh dưỡng và các nhị hoa thông thường được tập hợp lại dày dặc xung quanh vòi nhụy hoặc thậm chí được hợp nhất lại thành ống xung quanh nó. Thuộc tính thứ hai có lẽ gắn liền với sự thụ phấn đầu cơ (hay thứ cấp) và điều này rất phổ biến trong các họ của bộ này.Các họBộ Asterales bao gồm khoảng 11 họ, trong đó các họ lớn nhất là họ Cúc ([[Asteraceae]]) với khoảng 25.000 loài và họ Hoa chuông ([Campanulaceae]]) với khoảng 2.000 loài. Các họ còn lại có tổng cộng không quá 500 loài. Hai họ lớn nhất là phân bổ rộng khắp thế giới với trung tâm nằm ở Bắc bán cầu, còn những họ nhỏ hơn thông thường phân bổ ở Australia và các vùng xung quanh, hoặc đôi khi ở Nam Mỹ.Trong hệ thống Cronquist, họ Asteraceae là họ duy nhất trong bộ, nhưng các hệ thống mới hơn (chẳng hạn APG II) đã mở rộng nó.Tiến hóa và địa lý sinh họcCác loài trong bộ Asterales có lẽ xuất hiện vào thời gian của kỷ Phấn trắng trên siêu đại lục Gondwana, trong khu vực ngày nay là châu Á và Australia. Mặc dù các loài còn tồn tại hiện nay chủ yếu là cây thân thảo, nhưng việc giám định các họ cơ bản trong bộ này cho thấy tổ tiên chung của bộ có lẽ là cây thân gỗ.Các chứng cứ hóa thạch của bộ Asterales là rất hiếm và chỉ thuộc về những kỷ nguyên gần đây, vì thế việc ước lượng chính xác niên đại của bộ này là cực kỳ khó khăn. Phấn hoa trong thời kỳ thế Oligocen đã được tìm thấy đối với các họ Asteraceae và Goodeniaceae, còn hạt có niên đại từ các thế Oligocen và Miocen đã được tìm thấy đối với các họ Menyanthaceae và Campanulaceae. (Bremer và Gustafsson, 1997)Tầm quan trọng kinh tếHọ Asteraceae chứa một số loài được trồng để làm thực phẩm, chẳng hạn hướng dương (Helianthus annuus) hay rau diếp xoăn (chi Cichorium). Nhiều loài là cây thuốc cũng nằm trong bộ này.Trong số các loại cây trồng để lấy hoa có họ Asteraceae (chi Chrysanthemum) và họ Campanulaceae."
8,Bromeliales,Dứa,"Bộ Dứa (danh pháp khoa học: Bromeliales) là tên gọi thực vật của một bộ trong số các bộ thực vật có hoa. Trong các hệ thống phân loại truyền thống, chẳng hạn như hệ thống Engler hay hệ thống Cronquist nó chỉ chứa một họ duy nhất là họ Dứa (Bromeliaceae). Trong hệ thống Thorne người ta còn cho thêm họ Rapateaceae  vào bộ này và nó được coi là một bộ của hai họ này.Bộ này không được công nhận trong hệ thống APG II, và người ta đưa cả hai họ này vào bộ Hòa thảo (Poales)."
9,Buxales,Hoàng dương,"Bộ Hoàng dương là tên gọi thực vật cho một nhóm thực vật ở cấp bộ thuộc nhánh thực vật hai lá mầm thật sự (eudicots).Trong hệ thống APG II, họ Hoàng dương (Buxaceae) là họ thực vật không đặt vào bộ nào trong nhóm thực vật hai lá mầm thật sự (eudicots). Họ này có thể bao gồm cả chi Didymeles, được hệ thống Cronquist coi là nằm trong một họ và bộ riêng, đặt trong phân lớp Kim lũ mai (Hamamelidae). APG II cho phép một tùy chọn về việc tiếp tục coi chi Didymeles như là nằm trong một họ riêng của chính nó.Ngoài ra, APG II có đề cập tới khả năng trong các phiên bản tương lai của hệ thống thì họ Buxaceae có thể cũng được nâng cấp lên thành bộ. Trong trường hợp này bộ Buxales (Takht. cũ Reveal (1996)) có thể sẽ trở thành bộ của 1 tới 3 họ. Các từ đồng nghĩa của nó: Didymelales (Takht.), Buxanae (Reveal & Doweld). Tên gọi Buxales hiện tại cũng được sử dụng trong website của APG.
[sửa] Phân loạiTheo website của APG II thì bộ này có thể chứa các họ sau:          o Họ Buxaceae
          o Họ Didymelaceae (họ tùy chọn, tách ra từ Buxaceae)
          o Họ Haptanthaceae?"
10,Capparales,Màn màn,"Bộ Bạch hoa, bộ Cáp hay bộ Màn màn[1]  (danh pháp khoa học: Capparales) là tên gọi của một bộ thực vật có hoa. Nó được sử dụng trong hệ thống Cronquist cho một bộ trong phân lớp Sổ (Dilleniidae) cũng như trong hệ thống Kubitzki. Trong phiên bản năm 1981 của hệ thống Cronquist nó bao gồm:    * Bộ Capparales          Họ Tovariaceae
          Họ Capparaceae
          Họ Brassicaceae
          Họ Moringaceae
          Họ ResedaceaeHệ thống APG II năm 2003 gộp tất cả các họ thực vật kể trên vào trong bộ Cải (Brassicales) mở rộng. Tuy nhiên, đối với các tên gọi cao hơn cấp họ thì nguyên lý ưu tiên không mang tính bắt buộc trong APG, vì thế có khác biệt trong hai tên gọi này."
