idChi,Ten_KH,Ten_TV,Mo_ta,idHo
1,Abacopteris,,,308
2,Abelia,,,64
3,Abelmoschus,Vông vang; Bụp vang,,185
4,Abies,Vân sam,"ABIES Miller[Abies là tên Latin thông thường của cây Vân sam]Cây gỗ thường xanh có thân thẳng và tán hình nón. Cành ngang mọc vòng, mỗi năm một vòng. Vỏ có vẩy. Lá mọc riêng rẽ, có khi xếp gần như từng đôi hay hình lược, phiến hình dải hay hình dải ngọn giáo hẹp, thường có hai dải màu trắng ở mặt dưới. Hoa cùng gốc, thành đuôi sóc, ở nách lá, thòng xuống. Nón hằ̀ng năm mọc đứng, có nhiều vẩy xếp, xoắn ốc quanh một trục và tách ra khỏi trục khi chín, trục này vẫn tồn tại trên nhánh. Hạt dài cỡ 5mm, xếp từng đôi ở gốc của vẩy, phía trong; cánh phát triển.Chi này gồm khoảng 41 loài phân bố trong các vùng ôn đới của Bắc bán cầu, một số phát tán đến vùng nhiệt đới. Ở Việt Nam chỉ gặp một loài là Abies delavayi",237
5,Abobra,,,92
6,Abrodictyum,,,154
7,Abroma,"Tai mèo, Bất thực","ABROMA Jacq.Cây nhỡ có nhiều nhánh. Lá chia thùy chân vịtHoa đỏ, mọc đơn độc hay từng đôi. Đài có 5 lá đài. Tràng có 5 cánh hoa tận cùng bởi một móng mở rộng và có một tuyến to ở dưới. 5 nhị có chỉ nhị dạng cánh mang mỗi cái 3 hay 4 bao phấn mở ra phía ngoài. Bầu 5 ô. Quả nang có 5 ô, với 5 cánh và mở ở phía đỉnh.Gồm 2 - 3 loài phân bố ở các vùng nhiệt đới. Ở Việt Nam có 1 loài là: Abroma augusta",296
8,Abrus,,,129
9,Abutilon,"Cối xay, Giằng xay","ABUTILON Miller[Tên Ả Rập do Avicenne đặt cho một loài cây họ Bông có hoa vàng]Cỏ hay cây bụi, ít khi là cây gỗ mà các phần khí sinh còn non đều phủ lớp lông mềm. Lá hình tim hay có thùy chân vịt.Hoa giống với hoa Dâm bụt - Hibiscus nhưng không có đài phụ dưới hoa, thường mọc ở nách lá, màu vàng, nâu hay đỏ. Bầu có số lượng ô là 5 hoặc nhiều.Gồm hơn 100 loài ở các vùng nhiệt đới nóng. Ở Việt Nam có 2 loài, mà loài thông dụng là: Abutilon ilmicum",185
10,Acacia,"Keo, Sống rắn, Sóng rắng","ACACIA Mill.[Tiếng Latin xuất xứ từ chữ Hy Lạp akakia chỉ nhiều loài của chi này, như Acacia vera]Cây gỗ có gai hay cây nhỡ có khi leo. Lá 2 lần lông chim hoặc dạng như lá đơn, biến đổi thành cành dạng lá do cuống lá và trục lá phình rộng; thường có tuyến.Hoa thành đầu hình cầu hay thành bông hình trụ, đơn độc hay thành chùm, thường có màu vàng. Đài hợp với 4 - 5 cánh hay thùy. Tràng hợp với 4 - 5 thùy. Nhị nhiều; chỉ nhị rời từ gốc, bao phấn có tuyến có chấn ở đỉnh.Quả đậu có hình dạng và kích thước thay đổi, mở hay không. Hạt màu nâu hay đen.Gồm khoảng 800 - 900 loài phân bố ở miền nhiệt đới và cận nhiệt đới, chủ yếu ở Nam bán cầu. Ở Việt Nam có đến 28 loài mà nhiều loài là cây nhập nội.",196
11,Acalypha,"Tai tượng, Trà cọc rào","ACALYPHA L.[Từ chữ Hy Lạp acalephe, tên của cây]Cây thảo hay cây nhỡ. Lá mọc so le, có lá kèm.Hoa cùng gốc hay khác gốc, xếp thành bông. Đài của hoa đực có 4 phiến bao quanh 8 - 16 nhị có chỉ nhị dính ở gốc và có bao phấn đính ở phía trên đỉnh của chỉ nhị. Hoa cái có 3 phiến đài bao quanh bầu có 3 ô và 3 vòi nhụy chia ra thành đầu nhụy, màu đỏ và mảnh. Quả nang có 3 ô.Gồm tới 430 loài của các miền nhiệt đới và nóng. Nhiều loài được trồng rộng rãi làm cây cảnh",128
12,Acampe,A cam,"Acampe Lilml.[Từ chữ Hy Lạp akampes: cứng rắn, liên hệ đến những hoa nhỏ, giòn, không mềm mại ở trên những chùm hoa ở nách hay ở bên xuyên thủng các bẹ lá]Cây thảo phụ sinh, có thân dài đến 1m hay hơn; rễ khí sinh nhiều. Lá xếp 2 dãy, phẳng, dày, thuôn, dài; đầu lá có 2 thùy tròn.Cụm hoa ở nách lá, ít hoa, ngắn hơn lá. Hoa mập, to, cỡ trung bình, màu vàng đậm với các vết nâu đỏ. Cánh môi có một thùy, các thùy bên  trùng với mép của móng. Khối phấn 2, mỗi cái chia thành 2 khối tròn tròn gần bằng nhau. Chuôi thẳng, thường hẹp. Bao phấn mở nắp, bao lấy cột. Quả nang.Gồm 12 loài của vùng Ấn Độ - Mã Lai, 1 loài phân bố tới châu Phi. Ở Việt Nam có gặp 3 loài có dáng đẹp, có thể trồng làm cảnh. Thường nói đến là: Acampe rigida",222
13,Acanthopanax,Ngũ gia bì,"ACANTHOPANAX (Decne. et Planch.) Miq.[Từ chữ Hy Lạp akantha: gai và panax, một chi của họ Nhân sâm; liên hệ thân cành có gai của cây này].Cây gỗ hay cây bụi có thân thường có gai. Lá mọc so le có cuống dài, hình chân vịt hay hình bàn tay, sớm rụng. Hoa nhỏ, thường có màu lục nhạt, xếp thành tán, có khi tạo thành đầu lớn ở ngọn. Quả mọng màu đen.Có khoảng 30 loài ở Đông Á, Himalaia và vùng Mã Lai. Ở Việt Nam có gặp 4 loài.",24
