id,Ten_KH,Ten_TV,Mo_ta,idHo
61859947267dc912d02a4700,Abacopteris,,,618595fb267dc912d02a46d6
61859947267dc912d02a4701,Abelia,,,618595fb267dc912d02a46aa
61859947267dc912d02a4702,Abelmoschus,Vông vang; Bụp vang,,618595fb267dc912d02a465b
61859947267dc912d02a4703,Abies,Vân sam,"ABIES Miller[Abies là tên Latin thông thường của cây Vân sam]Cây gỗ thường xanh có thân thẳng và tán hình nón. Cành ngang mọc vòng, mỗi năm một vòng. Vỏ có vẩy. Lá mọc riêng rẽ, có khi xếp gần như từng đôi hay hình lược, phiến hình dải hay hình dải ngọn giáo hẹp, thường có hai dải màu trắng ở mặt dưới. Hoa cùng gốc, thành đuôi sóc, ở nách lá, thòng xuống. Nón hằ̀ng năm mọc đứng, có nhiều vẩy xếp, xoắn ốc quanh một trục và tách ra khỏi trục khi chín, trục này vẫn tồn tại trên nhánh. Hạt dài cỡ 5mm, xếp từng đôi ở gốc của vẩy, phía trong; cánh phát triển.Chi này gồm khoảng 41 loài phân bố trong các vùng ôn đới của Bắc bán cầu, một số phát tán đến vùng nhiệt đới. Ở Việt Nam chỉ gặp một loài là Abies delavayi",618595fb267dc912d02a468f
61859947267dc912d02a4704,Abobra,,,618595fb267dc912d02a46c6
61859947267dc912d02a4705,Abrodictyum,,,618595fb267dc912d02a463c
61859947267dc912d02a4706,Abroma,"Tai mèo, Bất thực","ABROMA Jacq.Cây nhỡ có nhiều nhánh. Lá chia thùy chân vịtHoa đỏ, mọc đơn độc hay từng đôi. Đài có 5 lá đài. Tràng có 5 cánh hoa tận cùng bởi một móng mở rộng và có một tuyến to ở dưới. 5 nhị có chỉ nhị dạng cánh mang mỗi cái 3 hay 4 bao phấn mở ra phía ngoài. Bầu 5 ô. Quả nang có 5 ô, với 5 cánh và mở ở phía đỉnh.Gồm 2 - 3 loài phân bố ở các vùng nhiệt đới. Ở Việt Nam có 1 loài là: Abroma augusta",618595fb267dc912d02a46ca
61859947267dc912d02a4707,Abrus,,,618595fb267dc912d02a4624
61859947267dc912d02a4708,Abutilon,"Cối xay, Giằng xay","ABUTILON Miller[Tên Ả Rập do Avicenne đặt cho một loài cây họ Bông có hoa vàng]Cỏ hay cây bụi, ít khi là cây gỗ mà các phần khí sinh còn non đều phủ lớp lông mềm. Lá hình tim hay có thùy chân vịt.Hoa giống với hoa Dâm bụt - Hibiscus nhưng không có đài phụ dưới hoa, thường mọc ở nách lá, màu vàng, nâu hay đỏ. Bầu có số lượng ô là 5 hoặc nhiều.Gồm hơn 100 loài ở các vùng nhiệt đới nóng. Ở Việt Nam có 2 loài, mà loài thông dụng là: Abutilon ilmicum",618595fb267dc912d02a465b
61859947267dc912d02a4709,Acacia,"Keo, Sống rắn, Sóng rắng","ACACIA Mill.[Tiếng Latin xuất xứ từ chữ Hy Lạp akakia chỉ nhiều loài của chi này, như Acacia vera]Cây gỗ có gai hay cây nhỡ có khi leo. Lá 2 lần lông chim hoặc dạng như lá đơn, biến đổi thành cành dạng lá do cuống lá và trục lá phình rộng; thường có tuyến.Hoa thành đầu hình cầu hay thành bông hình trụ, đơn độc hay thành chùm, thường có màu vàng. Đài hợp với 4 - 5 cánh hay thùy. Tràng hợp với 4 - 5 thùy. Nhị nhiều; chỉ nhị rời từ gốc, bao phấn có tuyến có chấn ở đỉnh.Quả đậu có hình dạng và kích thước thay đổi, mở hay không. Hạt màu nâu hay đen.Gồm khoảng 800 - 900 loài phân bố ở miền nhiệt đới và cận nhiệt đới, chủ yếu ở Nam bán cầu. Ở Việt Nam có đến 28 loài mà nhiều loài là cây nhập nội.",618595fb267dc912d02a4666
61859947267dc912d02a470a,Acalypha,"Tai tượng, Trà cọc rào","ACALYPHA L.[Từ chữ Hy Lạp acalephe, tên của cây]Cây thảo hay cây nhỡ. Lá mọc so le, có lá kèm.Hoa cùng gốc hay khác gốc, xếp thành bông. Đài của hoa đực có 4 phiến bao quanh 8 - 16 nhị có chỉ nhị dính ở gốc và có bao phấn đính ở phía trên đỉnh của chỉ nhị. Hoa cái có 3 phiến đài bao quanh bầu có 3 ô và 3 vòi nhụy chia ra thành đầu nhụy, màu đỏ và mảnh. Quả nang có 3 ô.Gồm tới 430 loài của các miền nhiệt đới và nóng. Nhiều loài được trồng rộng rãi làm cây cảnh",618595fb267dc912d02a4623
61859947267dc912d02a470b,Acampe,A cam,"Acampe Lilml.[Từ chữ Hy Lạp akampes: cứng rắn, liên hệ đến những hoa nhỏ, giòn, không mềm mại ở trên những chùm hoa ở nách hay ở bên xuyên thủng các bẹ lá]Cây thảo phụ sinh, có thân dài đến 1m hay hơn; rễ khí sinh nhiều. Lá xếp 2 dãy, phẳng, dày, thuôn, dài; đầu lá có 2 thùy tròn.Cụm hoa ở nách lá, ít hoa, ngắn hơn lá. Hoa mập, to, cỡ trung bình, màu vàng đậm với các vết nâu đỏ. Cánh môi có một thùy, các thùy bên  trùng với mép của móng. Khối phấn 2, mỗi cái chia thành 2 khối tròn tròn gần bằng nhau. Chuôi thẳng, thường hẹp. Bao phấn mở nắp, bao lấy cột. Quả nang.Gồm 12 loài của vùng Ấn Độ - Mã Lai, 1 loài phân bố tới châu Phi. Ở Việt Nam có gặp 3 loài có dáng đẹp, có thể trồng làm cảnh. Thường nói đến là: Acampe rigida",618595fb267dc912d02a4680
61859947267dc912d02a470c,Acanthopanax,Ngũ gia bì,"ACANTHOPANAX (Decne. et Planch.) Miq.[Từ chữ Hy Lạp akantha: gai và panax, một chi của họ Nhân sâm; liên hệ thân cành có gai của cây này].Cây gỗ hay cây bụi có thân thường có gai. Lá mọc so le có cuống dài, hình chân vịt hay hình bàn tay, sớm rụng. Hoa nhỏ, thường có màu lục nhạt, xếp thành tán, có khi tạo thành đầu lớn ở ngọn. Quả mọng màu đen.Có khoảng 30 loài ở Đông Á, Himalaia và vùng Mã Lai. Ở Việt Nam có gặp 4 loài.",618595fb267dc912d02a46e6
61859947267dc912d02a470d,Acanthophippium,"Lan chuông, Lan yên ngựa","ACANTHOPHIPPIUM Blume[Từ chữ Hy Lạp akantha: gai và ephippion: cái yên ngựa, do liên hệ đến hình dạng của cánh môi có 1 thùy giữa nguyên với 2 thùy bên song song và có răng trông giống cái yên ngựa]Cây thảo địa sinh. Giả hành với nhiều lá rộng, gấp nếp có cuống dài.Cụm hoa ở bên, thành chùm ngắn. Hoa không nhiều, to, cuống hoa dày lên sau khi hoa nở. Lá đài dính thành ống có đỉnh trải ra; các lá đài bên men trên cằm dài. Cánh hoa thẳng, hẹp hơn, không thò. Cánh môi có móng dài, ở cuối của cằm, chia 3 thùy, các thùy bên thẳng, thùy giữa nguyên; cột khoẻ, cằm dài, cong về phía trước. Bao phấn ở ngọn; nắp dạng mũ, có 2 thùy. Khối phấn 8, dính nhau.Gồm 15 loài ở vùng nhiệt đới châu Á tới Phitgi",618595fb267dc912d02a4680
61859947267dc912d02a470e,Acanthus,"Ô rô, Ắc ó","ACANTHUS L.[Từ tên Hy Lạp akantha: gai. Liên hệ đến các răng dạng gai của lá nhiều loài thuộc chi này]Cây mọc khỏe. Lá chia cắt ở hai bên. Hoa thành bông dây với các lá bắc ở gốc có răng ở mép. Đài hoa có 4 lá đài, tràng hoa có 3 thùy, 4 nhị.",618595fb267dc912d02a46f7
61859947267dc912d02a470f,Acasia,,,618595fb267dc912d02a4666
61859947267dc912d02a4710,Acer,"Thích, Phong","ACER L.[Từ chữ Latin acer: cứng. Liên hệ đến độ cứng của gỗ]Phần lớn là cây gỗ to, một số là cây nhỡ. Lá mọc đối, thường chia thùy chân vịt, ít khi nguyên, có khi kép, có hình dạng và kích thước thay đổi. Hoa thành chùm hay ngù, thường có màu lục. Trên cây có thể có cả hoa lưỡng tính và hoa cái, một số loài là cây có hoa khác gốc. Quả đặc trưng bởi dạng quả có cánh gồm 2 quả xếp cân đối trên một cuống chung, với bầu phình nhiều hay ít, có một cánh dạng màng kéo dài ra.Có tới hơn 100 loài ở miền ôn đới của châu Âu, nhất là ở châu Á và Bắc Mỹ, một số loài ở Nam Phi, một số ở các đảo Xơnđa và Trung Mỹ. Nhiều loài được trồng làm cây cảnh và cây đường phố.",618595fb267dc912d02a46f8
61859947267dc912d02a4711,Achillea,"Dương kỳ thảo, Vạn diệp","ACHILLEA L.[Lấy tên của Achille, mà theo người ta nói, đã dùng cây này để điều trị các vết thương]Cây thảo sống lâu năm, ít khi có dạng bụi thấp. Lá rất biến đổi, đơn hoặc bị chia cắt nhiều. Cụm hoa hình đầu trung bình hay nhỏ, có bao chung xếp thành ngù dày đặc nhiều hay ít. Đế hoa có vẩy. Hoa ở giữa hình ống; hoa ở mép, không nhiều, dạng lưỡi. Quả dẹp.Có 85 loài của các vùng ôn đới Bắc; nhiều loài dùng làm thuốc và trồng làm cảnh",618595fb267dc912d02a46ee
61859947267dc912d02a4712,Achyranthes,"Cỏ xước, Ngưu tất","ACHYRANTHES L.Cây thảo sống dai, với thân thường hóa gỗ ở gốc. Lá mọc đối, nguyên có cuống. Cụm hoa ở ngọn, thành bông thưa hay mảnh, kéo dài với hoa và quả cách quãng; hoa lưỡng tính, đơn độc. Lá bắc tồn tại, bao quanh các hoa, lá bắc con 2, phát triển thành gai cứng. Cánh bao hoa 4 - 5 gần bằng nhau, dạng màng với một hoặc nhiều gân, tạo thành móc quanh quả. Nhị 2 - 5, có chỉ nhị dính ở gốc thành chén nhị thấp, bao phấn thuôn hay hình trứng; nhị lép 5, có răng hay vẩy xẻ tua. Bầu với chỉ có một noãn treo ở cuối một cán noãn dài; vòi dạng sợi; đầu nhụy nhỏ. Quả nang dạng túi không lông; hạt hình trứng.Có 10 loài, 4 loài ở châu Phi, vài loài là cây toàn cầu.",618595fb267dc912d02a46da
61859947267dc912d02a4713,Acidosasa,,,618595fb267dc912d02a4696
61859947267dc912d02a4714,Aclisia,,,618595fb267dc912d02a46be
61859947267dc912d02a4715,Acmena,,,618595fb267dc912d02a4670
61859947267dc912d02a4716,Acontium,Ô đầu,"ACONITUM L.,[Từ chữ Hy Lạp akoniton: kích thích; cây có tác dụng kích thích, có hiệu lực cao; có người cho là dẫn xuất từ chữ akone: là đá để làm nhọn, từ chữ aka: mũi nhọn, sắc; cũng dẫn đến ý nghĩa trên]Cây thảo sống nhiều năm, mọc đứng. Lá có thùy chân vịt hay xẻ chân vịt. Cụm hoa ở nách lá hay ở ngọn, thành chùm hay chùy. Hoa không đều, 5 lá đài dạng cánh, cái trên dạng mũ phủ một phần lên các lá đài bên; nhị nhiều; bầu có 3 - 5 lá noãn rời. Quả đại.Gồm khoảng 100 loài của các vùng ôn đới Bắc.",618595fb267dc912d02a46a8
61859947267dc912d02a4717,Acorus,"Thạch xương bồ, Xương bồ","ACORUS L.[Từ chữ Hy Lạp akoros, do chữ a: làm tăng thêm và kora: mống mắt; cây được dùng trị các bệnh về mắt]Cây thảo sống nhiều năm có gốc thành thân rễ, ra rễ ở thân, thơm. Lá đều mọc từ gốc, hình dải dài, có bẹ.Hoa nhỏ, lưỡng tính, thành bông hình trụ, màu vàng vàng. Mo không cuống, dễ rụng. Quả dạng quả mọng.Gồm có 3 loài của Cựu lục địa và Bắc Mỹ",618595fb267dc912d02a46bf
61859947267dc912d02a4718,Acrachne,,,618595fb267dc912d02a4696
61859947267dc912d02a4719,Acriopsis,Tổ yến,"ACRIOPSIS Reinw. ex Blume[Từ chữ Hy Lạp akris, một loại sâu có cánh và opsis: giống như; giả thiết rằng có sự giống nhau của cột nhị nhụy có cánh lượn sóng ở mép với một loại sâu có cánh]Thực vật biểu sinh. Hành giả mọc thành bụi dày, dạng trứng. Lá 1 - 3, hình dải xếp nếp, dễ rụng vào mùa khô, có đốt trên bẹ ngắn.Cụm hoa mọc từ gốc, đồng thời với lá, thành chùm hay chùy, mảnh. Lá đài lưng cong nhiều hay ít về phía trước và lõm, cái ở dưới gồm 2 lá đài bên dính nhau ở dưới cánh môi. Cánh hoa 2 cái ở bên trải ra. Cánh môi dính với cột cho tới đầu nhụy và tạo thành một phần gù lõm, phần trên mọc thẳng, có 1 - 3 thùy, cột thẳng, có cánh lượn sóng ở mép. Bao phấn có 2 ô. Khối phấn 2 hay 4. Quả nang hình cầu.Gồm 12 loài ở vùng Đông Nam Á đến đảo Xôlômôn.",618595fb267dc912d02a4680
61859947267dc912d02a471a,Acrocephalus,,,618595fb267dc912d02a4647
61859947267dc912d02a471b,Acroceras,,,618595fb267dc912d02a4696
61859947267dc912d02a471c,Acronychia,,,618595fb267dc912d02a46b0
61859947267dc912d02a471d,Acrosorus,,,618595fb267dc912d02a469c
61859947267dc912d02a471e,Acrostichum,"Ráng biển, Ráng dại","ACROSTICHUM L.[Từ chữ Hy Lạp Akros: đỉnh và stichos: đường, dãy; các ổ túi bào tử tập hợp thành dãy ở một lá đặc biệt ở ngọn cây]Dương xỉ mọc ở đầm lầy, có thân mọc đứng và các lá lược kép lông chim một lần. Các ổ túi bào tử phủ kín toàn bộ mặt dưới của lá.Có 3 loài ở hầu khắp thế giớ",618595fb267dc912d02a46d6
61859947267dc912d02a471f,Actephila,Da gà,"ACTEPHILA Blume[Từ chữ Hy Lạp Aktis: tia sáng và philos: yêu, thích]Cây nhỏ không có nhựa mủ. Lá đơn, mọc so le, có lông hay nhẵn.Hoa xếp thành cụm nhỏ hoặc đơn độc ở nách lá, thường khác gốc. Các lá đài xếp lợp, cánh hoa 4 - 5 tồn tại. Hoa đực có nhị rời, nhụy lép đính ở giữa. Tuyến mật nằm đối diện với các lá đài. Quả nang.Gồm 35 loài ở vùng Ấn Độ - Mã Lai, Trung Quốc và Bắc Ôxtrâylia",618595fb267dc912d02a4623
61859947267dc912d02a4720,Actinidia,Dương đào,"ACTINIDIA Lindl.[Từ chữ Hy Lạp Aktis: tia sáng và eidos: giống như]Cây nhỡ leo, có khi mọc đứng. Lá rụng, mọc so le, đơn. Cây đa tính hay khác gốc; hoa mọc riêng lẻ, thành xim hay thành ngù; 5 lá đài; 5 cánh hoa; nhị và vòi nhụy nhiều. Quả dạng quả mọng.
Có hơn 30 loài của vùng Ấn Độ - Mã Lai. Ở Việt Nam có 6 loài. Thường nói đến là:",618595fb267dc912d02a45a7
61859947267dc912d02a4721,Actinodaphne,,,618595fb267dc912d02a4649
61859947267dc912d02a4722,Actinostemma,Bình trấp,"ACTINOSTEMMA Griff.[Từ chữ Hy Lạp aktis, sinh cách là aktinos: tia, tia sáng và stemma: tràng hoa]Cây thảo cùng gốc, ít khi khác gốc, có thân leo. Lá có phiến đơn, hình tim - mũi mác, nguyên hay chia thùy. Tua cuốn chẻ đôi, ít khi đơn.Cụm hoa đực thành xim nhỏ, ít hoa, xếp hình sao. Đế hoa hình chén không sâu. Lá đài 5, tràng trải ra, 5 cánh hoa rời nhau. Nhị 5, rời, đính trên đĩa ở trung tâm. Hoa cái đơn độc, thành bó hoặc chùm. Bao hoa giống với hoa đực. Bầu hình cầu hay hình trứng, có khi sần sùi; 2 - 3 ô, chứa 2 - 4 noãn treo. Quả nhỏ, thành quả hộp mở bởi một đường nứt vòng; hạt 2 - 4, dẹp, hình trái xoan, không có cánh.Gồm 3 - 4 loài ở Trung Quốc, Ấn Độ, Việt NamĐến Actinodaphne",618595fb267dc912d02a46c6
61859947267dc912d02a4723,Adansonia,Bao báp,"ADANSONIA L.[Lấy tên của nhà thực vật học người Pháp Michel Adanson (1727 -1806)]Cây gỗ có chiều cao không tương xứng với khối lượng thân có chu vi rất lớn (hơn 30m với một số loài ở đảo Capvert). Cành trải ra làm cho tán cây xòe rộng như cái dù. Lá kép chân vịt, với 3 - 5 lá chét nguyên, có cuống ngắn và có lá kèm sớm rụng. Hoa có đài với 3, 4 hay 5 lá đài dính nhau ở gốc; tràng gồm 5 cánh hoa dính nhau ở gốc và cũng dính với bộ nhị; nhị có nhiều chỉ nhị dính thành cột, phía trên rời; bầu thượng 5 - 10 ô, mỗi ô một noãn với 1 vòi nhụy chia ra số cành đầu nhụy ứng với số ô của bầu. Quả khô không mở, với hạt bao bởi một lớp cơm có bột.Có 9 - 10 loài ở châu Phi và Mađagaxca. Việt Nam có nhập trồng 1 loài  Adansonia grandidieri",618595fb267dc912d02a46fb
61859947267dc912d02a4724,Adenanthera,Trạch quạch,"ADENANTHERA L.[Từ chữ Hy Lạp adên : tuyến và anthera : bao phấn, gợi lên sự hiện diện của một tuyến ở đỉnh của bao phấn]Cây gỗ không gai. Lá kèm không thành gai. Lá hai lần lông chim; lá chét mọc so le. Cụm hoa chùm dạng bông. Hoa lưỡng tính. Đài hợp, có 5 răng xếp van. Cánh hoa 5, rời nhau trừ ở gốc. Nhị 10, hữu thụ, rời nhau, bao phấn có một tuyến có chân, sớm rụng. Bầu có cuống ngắn.Quả đặc thẳng, cong hay cuộn xoắn ốc, mở; vỏ quả dai. Hạt hình bầu dục - dạng tim, dày, vỏ hạt cứng, bóng, đỏ hay đỏ sẫm.Gồm 4 loài ở nhiệt đới châu Á và vùng Thái Bình Dương",618595fb267dc912d02a4666
61859947267dc912d02a4725,Adenia,"Sơ kinh, Thư diệp","ADENIA Forssk.[Từ chữ aden: tuyến, do lá cây có tuyến]Dây leo thân thảo hay hóa mộc, có tua cuốn (do những phần biến đổi của cụm hoa). Lá sớm rụng, mọc so le, có cuống, đơn, nguyên hay chia ra, có lá kèm thường rất tiêu giảm, tuyến ở cuống hay phiến và cuống thường dính làm một, có tuyến ở phiến và ở mép.Cụm hoa luôn luôn là xim hai ngả ở nách lá, cuống chung của cụm hoa phát triển mang những nhánh khá mảnh, biến đổi thành tua cuốn ở đỉnh. Hoa khác gốc, cùng gốc hay đa tính, có khi lưỡng tính không đầy đủ, đều. Hoa đực nhiều hơn hoa cái. Đài hình ống có 5 thùy; 5 cánh hoa đính trên ống đài có vành với 5 phần phụ. Hoa đực có 5 nhị, bao phấn mở ô, bầu lép thường không cuống. Hoa cái có nhị lép, bầu có cuống, một ô với ba giá noãn, vòi ngắn, 3 đầu nhụy hình đầu. Quả nang thòng, có cuống với 3 van mở ô, hạt có áo hạt.Gồm khoảng 93 loài của Cựu lục địa, chủ yếu ở châu Phi",618595fb267dc912d02a4687
61859947267dc912d02a4726,Adenium,"Sứ sa mạc, Sứ thái","ADENIUM Roem. et Schult.Cây có thân dày, chịu khô hạn, có nhựa mủ màu trắng. Lá đơn, nguyên, dễ rụng. Hoa to có cánh hợp tạo thành cụm hoa ở ngọn của cành rụng lá hay ở sát các lá. Quả đại.Có 5 loài nhiệt đới và cận nhiệt đới của châu Phi và Ả Rập",618595fb267dc912d02a46e2
61859947267dc912d02a4727,Adenoncos,,,618595fb267dc912d02a4680
61859947267dc912d02a4728,Adenophora,"Nam sa sâm, Tuyến đài","[Từ chữ Hy Lạp aden: tuyến và phoras: mang; Hoa có một đĩa mật mang tuyến]Cây thảo sống nhiều năm, có khi hai năm, mọc đứng, có nhựa mủ. Lá mọc so le hay mọc vòng, các lá ở dưới tròn, có cuống; các lá trên hẹp, không cuống.Cụm hoa thành chùm hay chùy, ở ngọn hay ở nách lá. Hoa lưỡng tính, đều, thường theo mẫu 5, có bầu hạ. Đài có 5 thùy. Tràng hợp thành hình chuông hay phễu, với 5 thùy. Nhị 5, rời, chỉ nhị dài, có lông mịn. Bầu 2 hay 3 ô; vòi nhụy mảnh, 2 - 3 đầu nhụy, bao ở gốc bởi một đĩa hình trụ, mang tuyến mật. Quả nang, mở ở gốc bởi 3 van.Gồm 18 loài ở Châu Á, nhất là ở vùng Đông Á.",618595fb267dc912d02a46a6
61859947267dc912d02a4729,Adenosma,"Nhân trần, Tuyến hương, Bồ bồ","ADENOSMA R.Br.[Từ chữ Hy Lạp aden: tuyến và osmé: mùi thơm, hương thơm]Cỏ mọc hằng năm hay sống dai, thường có mùi thơm. Lá đơn, mọc đối, có cuống hay không, có mép nhăn.Hoa đơn độc ở nách lá hoặc mọc thành chùm có lá, hoặc là cụm hoa đầu hay dạng bông. Hai lá bắc con dạng sợi nằm đúng ngay dưới đài. Đài có 5 lá đài không đều; 3 cái ngoài lớn hơn, hình ngọn giáo rộng tới hình tim – trứng; 2 cái ở trong hình dải – ngọn giáo. Tràng hình trụ, có́ 2 môi; môi trên (ở ngoài) hình bầu dục tới tròn, nguyên hay lõm; môi dưới (ở trong) có 3 thùy. Nhị 4, không thò, 2 trội; bao phấn 2 ô rời nhau mà 1 cái sinh sản trong cả 4 nhị hoặc chỉ có 2 nhị sau sinh sản. Vòi dạng sợi; đầu nhụy dạng đấu.Quả nang hình trứng, hình nón hay bầu dục dạng trứng, thon hẹp nhiều ở đỉnh, có 2 rãnh, mở cắt vách hay mở ô bởi 4 van; hạt nhiều, nhỏ, hình bầu dục hay hình trụ ngắn; vỏ có vân mạng.Gồm 15 loài phân bố ở Đông Nam Á và ở Ôxtrâylia",618595fb267dc912d02a46be
61859947267dc912d02a472a,Adenostemma,"Cúc trắng, Cúc dính, Cỏ mịch","ADENOSTEMMA J.R. Forst. et. G. Forst.[Từ tiếng Hy Lạp aden: tuyến và stemma: dải nhỏ, vòng]Cây thảo mọc đứng. Lá đơn, mọc đối, không lông, mép có răng cưa. Cụm hoa ở ngọn, các đầu hoa gồm toàn hoa hình ống có đầu nhụy dài; lá bắc 2 hàng mà hàng trong dính nhau. Quả bế có lông gai phù ở đầu.Có 20 loài thuộc vùng nhiệt đới châu Mỹ, châu Phi và một loài liên nhiệt đới. Ở Việt Nam có 2 loài, nhưng phổ biến là Adenostemma lavenia",618595fb267dc912d02a46ee
61859947267dc912d02a472b,Adiantum,Tóc thần,"ADIANTUM L.[Từ adiantos: không thấm nước, do chữ a: không và diaino: tôi thấm nước. Nước không dính vào mặt của lá cây]Dương xỉ có thân rễ mọc bò, cuống lá bóng loáng, mảnh, nhẵn, có khi có lông. Lá lược đơn, hai lần lông chim, ba lần và có khi bốn lần. Các đoạn cuối hình tam giác hay bình hành. Túi bào tử đính trong những khoang mà các vách dựng lên từ lá lược đến áo túi. Áo túi ở mép mở vào phía trong.Có khoảng 280 loài nhiệt đới; châu Mỹ chiếm đến nửa số loài, một số loài ở các miền ôn đới, phần lớn ưa đá vôi. Nhiều loài được trồng làm cảnh",618595fb267dc912d02a46fb
61859947267dc912d02a472c,Adina,Gáo vàng,"ADINA SalisbCây nhỡ hay cây gỗ. Lá có cuống; lá kèm rộng, chẻ đôi, sớm rụng.Cụm hoa có hoa nằm giữa các lá bắc, tập hợp thành đầu hình cầu, đơn độc hay thành chùy; đế hoa có lông. Lá đài 5, ống đài có góc; cánh hoa 5, tiền khai van; ống dài; loe thành phễu; có họ̣ng nhẵn. Nhị 5, đính ở ngọn của tràng, chỉ nhị ngắn. Bầu có 2 ô, vòi dạng sợi, đầu nhụy hình đầu; noãn 1 - 4, lợp và treo ở giá noãn.Quả nang mang lá đài tồn tại, họp thành đầu nhưng rời nhau, hạt thuôn, có cánh.Gồm 3 loài ở các vùng nhiệt đới Châu Á và Châu Mỹ",618595fb267dc912d02a46ae
