idHo,Ten_KH,Ten_TV,Mo_ta,idBo
1,Acanthaceae,Ô rô,"Acanthaceae - Họ Ô rôHọ Ô rô là một họ thực vật hai lá mầm trong thực vật có hoa, chứa khoảng 250 chi và khoảng 2.500 loài, trong khi APG chấp nhận ít chi hơn nhưng lại nhiều loài hơn (khoảng 229 chi và khoảng 4.000 loài). Phần lớn là cây thân thảo, cây bụi hay dây leo nhiệt đới; một số có gai. Chỉ có một số ít loài sinh sống trong khu vực ôn đới, bốn trung tâm phân bổ chính là khu vực Indo-Malaya, châu Phi, Brasil và Trung Mỹ. Các đại diện của họ này có thể được tìm thấy ở gần như mọi moi trường sinh sống, chẳng hạn trong các rừng rậm và rừng thưa, trong các bụi cây hay trên các cánh đồng và thung lũng ẩm ướt, ven biển và trong các khu vực biển, đầm lầy như là một thành phần của các rừng đước.
Justicia aurea.Loài quen thuộc với khu vực ôn đới là Acanthus mollis hay ô rô gấu, một loài cây thân thảo sống lâu năm với các lá lớn và cành hoa cao tới 2 m. Các chi nhiệt đới quen thuộc với những người làm vườn có Thunbergia và Justicia.Đặc điểmCác loài trong họ này có các lá đơn, mọc đối xếp chéo chữ thập với mép lá nhẵn (hoặc đôi khi có răng cưa hay thùy). Lá có thể chứa các viên sỏi, nhìn thấy dưới dạng các sọc trên bề mặt. Hoa hoàn hảo, đối xứng hai bên tới gần như đối xứng tỏa tia, các hoa này mọc thành một cụm hoa hoặc là kiểu cành hoa hoặc kiểu xim. Thông thường có lá bắc nhiều màu sắc đối diện với mỗi hoa; ở một vài loài thì lá bắc lớn và sặc sỡ. Đài hoa thông thường là loại 4-5 thùy; tràng hoa hình ống, 2 môi hay 5 thùy; các nhị hoa hoặc là 2 hay 4 được sắp xếp thành cặp và lồng vào tràng hoa; bầu nhụy lớn, 2-lá noãn, với kiểu đính noãn gắn trụ (Rất đặc trưng bởi noãn có chân). Quả nang tự mở bằng cách co giãn từ đỉnh xuống gốc, các mảnh vỏ cong và rời khỏi trục giữa (loại quả nang 2 tế bào, nẻ ra có phần hơi mạnh mẽ). Ở phần lớn các loài, hạt gắn liền với cuống móc nhỏ (một loại cán phôi biến đổi) để đẩy chúng ra khỏi quả nang. Hạt là loại không có nội nhũ với các phôi lớn.Phân loạiThế giới có 250 chi và 2600 loài, phân bố chủ yếu ở Nam và Đông Nam Á, ở châu Phi và Nam Mỹ.Ở Việt Nam có khoảng 55 chi và khoảng 195 loài.Chi Avicennia, thông thường được đặt trong họ Verbenaceae hay trong họ của chính nó, Avicenniaceae, được Angiosperm Phylogeny Group đưa vào họ Acanthaceae trên cơ sở của nghiên cứu phát sinh loài ở mức phân tử chỉ ra rằng nó cần được gắn liền với họ này.Một số chiỞ đây có 246 chi được chấp nhận theo GRIN (Germplasm Resources Information Network).    * Acanthopale C.B.Clarke
    * Acanthopsis Harv.
    * Acanthostelma Bidgood & Brummitt
    * Acanthura Lindau
    * Acanthus L.: Ô rô
    * Achyrocalyx Benoist
    * Adhatoda Mill. (đôi khi được đưa vào chi Justicia)
    * Afrofittonia Lindau
    * Ambongia Benoist
    * Ancistranthus Lindau
    * Ancistrostylis T.Yamaz.
    * Andrographis Wall. cũ Nees: Xuyên tâm liên
    * Angkalanthus Balf.f.
    * Anisacanthus Nees
    * Anisosepalum E.Hossain
    * Anisostachya Nees (đôi khi được đưa vào chi Justicia)
    * Anisotes Nees
    * Anomacanthus R.D.Good
    * Apassalus Kobuski
    * Aphanosperma T.F.Daniel
    * Aphelandra R.Br.
    * Aphelandrella Mildbr.
    * Ascotheca Heine
    * Asystasia Blume: Biến hoa
    * Asystasiella Lindau
    * Ballochia Balf.f.
    * Barleria L.: Violet Philippin
    * Barleriola Oerst.
    * Benoicanthus Heine & A.Raynal
    * Blechum P. Browne
    * Blepharis Juss.
    * Borneacanthus Bremek.
    * Boutonia DC.
    * Brachystephanus Nees
    * Bravaisia DC.
    * Brillantaisia P.Beauv.
    * Calacanthus T.Anderson cũ Benth. & Hook. f.
    * Calophanoides (C.B.Clarke) Ridl. (đôi khi được đưa vào chi Justicia): Đỗ căn đằng
    * Calycacanthus K. Schum.
    * Camarotea Scott-Elliot
    * Carlowrightia A.Gray
    * Celerina Benoist
    * Cephalacanthus Lindau
    * Chaetacanthus Nees
    * Chalarothyrsus Lindau
    * Chamaeranthemum Nees
    * Championella Bremek.
    * Chileranthemum Oerst.
    * Chlamydacanthus Lindau (đôi khi được đưa vào chi Theileamea)
    * Chlamydocardia Lindau
    * Chlamydostachya Mildbr.
    * Chroesthes Benoist
    * Clinacanthus Nees: Xương khỉ, bìm bịp, mảnh cọng
    * Clistax Mart.
    * Codonacanthus Nees
    * Conocalyx Benoist
    * Corymbostachys Lindau
    * Cosmianthemum Bremek.
    * Crabbea Harv.
    * Crossandra Salisb.
    * Crossandrella C.B.Clarke
    * Cyclacanthus S.Moore
    * Cylindrosolenium Lindau
    * Cyphacanthus Leonard
    * Dactylostegium Nees (đôi khi được đưa vào chi Dicliptera)
    * Danguya Benoist
    * Dasytropis Urb.
    * Dichazothece Lindau
    * Dicladanthera F. Muell.
    * Dicliptera Juss.: Lá diễn, cẩu can thái
    * Didyplosandra Wight cũ Bremek.
    * Dipteracanthus Nees (đôi khi được đưa vào chi Ruellia)
    * Dischistocalyx T.Anderson cũ Benth. & Hook.f.
    * Dolichostachys Benoist
    * Drejera Nees
    * Drejerella Lindau (đôi khi được đưa vào chi Justicia)
    * Duosperma Dayton
    * Dyschoriste Nees
    * Ecbolium Kurz
    * Echinacanthus Nees
    * Elytraria Michx.
    * Encephalosphaera Lindau
    * Epiclastopelma Lindau
    * Eranthemum L.
    * Eremomastax Lindau
    * Eusiphon Benoist
    * Filetia Miq.
    * Fittonia Coem.
    * Forcipella Baill.
    * Forsythiopsis Baker (đôi khi được đưa vào chi Oplonia)
    * Geissomeria Lindl.
    * Glossochilus Nees
    * Golaea Chiov.
    * Graphandra J.B.Imlay
    * Graptophyllum Nees
    * Gymnophragma Lindau
    * Gymnostachyum Nees
    * Gynocraterium Bremek.
    * Gypsacanthus E.J.Lott và ctv.
    * Haplanthodes Kuntze
    * Harpochilus Nees
    * Hemiadelphis Nees
    * Hemigraphis Nees (đôi khi được đưa vào chi Strobilanthes)
    * Henrya Nees
    * Herpetacanthus Nees
    * Heteradelphia Lindau
    * Holographis Nees
    * Hoverdenia Nees
    * Hulemacanthus S.Moore
    * Hygrophila R.Br.
    * Hypoestes Sol. cũ R.Br.
    * Ionacanthus Benoist
    * Isoglossa Oerst.
    * Isotheca Turrill
    * Jadunia Lindau
    * Juruasia Lindau
    * Justicia L.: Xuân tiết
    * Kalbreyeriella Lindau
    * Kosmosiphon Lindau
    * Kudoacanthus Hosok.
    * Lankesteria Lindl.
    * Lasiocladus Bojer cũ Nees
    * Leandriella Benoist
    * Lepidagathis Willd.     * Leptostachya Nees
    * Liberatia Rizzini (đôi khi được đưa vào chi Lophostachys)
    * Linariantha B.L.Burtt & R.M.Sm.
    * Lophostachys Pohl
    * Louteridium S.Watson
    * Lychniothyrsus Lindau
    * Marcania J.B.Imlay
    * Megalochlamys Lindau
    * Megalostoma Leonard
    * Megaskepasma Lindau
    * Melittacanthus S.Moore
    * Mellera S. Moore
    * Mendoncia Vand.
    * Metarungia Baden
    * Mexacanthus T.F.Daniel
    * Meyenia Nees
    * Mimulopsis Schweinf.
    * Mirandea Rzed.
    * Monechma Hochst. (đôi khi được đưa vào chi Justicia)
    * Monothecium Hochst.
    * Morsacanthus Rizzini
    * Nelsonia R.Br.
    * Neohallia Hemsl.
    * Neriacanthus Benth.
    * Neuracanthus Nees: Kinh rô
    * Odontonema Nees
    * Ophiorrhiziphyllon Kurz
    * Oplonia Raf.
    * Oreacanthus Benth.
    * Orophochilus Lindau
    * Pachystachys Nees
    * Pelecostemon Leonard
    * Pentstemonacanthus Nees
    * Perenideboles Ram.
    * Pericalypta Benoist
    * Periestes Baill.
    * Peristrophe Nees: Lá cẩm
    * Petalidium Nees
    * Phaulopsis Willd.
    * Phialacanthus Benth.
    * Phidiasia Urb.
    * Phlogacanthus Nees: Hỏa rô
    * Physacanthus Benth.
    * Podorungia Baill.
    * Poikilacanthus Lindau
    * Polylychnis Bremek.
    * Populina Baill.
    * Pranceacanthus Wassh.
    * Pseuderanthemum Radlk.: Xuân hoa, hoàn ngọc
    * Pseudocalyx Radlk.
    * Pseudodicliptera Benoist
    * Pseudoruellia Benoist
    * Psilanthele Lindau
    * Ptyssiglottis T.Anderson
    * Pulchranthus V.M.Baum và ctv.
    * Pupilla Rizzini (đôi khi được đưa vào chi Justicia)
    * Razisea Oerst.
    * Rhinacanthus Nees: Bạch hạc
    * Rhombochlamys Lindau
    * Ritonia Benoist
    * Rostellularia Rchb. (đôi khi được đưa vào chi Justicia): Tước sàng
    * Ruellia L.: Cỏ nổ, dã yên thảo dại
    * Ruelliopsis C.B.Clarke
    * Rungia Nees
    * Ruspolia Lindau
    * Ruttya Harv.
    * Saintpauliopsis Staner (đôi khi được đưa vào chi Staurogyne)
    * Salpinctium T.J.Edwards
    * Salpixantha Hook.
    * Samuelssonia Urb. & Ekman
    * Sanchezia Ruiz & Pav.
    * Santapaua N.P.Balakr. & Subr. (đôi khi được đưa vào chi Hygrophila)
    * Sapphoa Urb.
    * Satanocrater Schweinf.
    * Sautiera Decne.
    * Schaueria Nees
    * Schwabea Endl. & Fenzl
    * Sclerochiton Harv.
    * Sebastiano-schaueria Nees
    * Sericospora Nees
    * Siphonoglossa Oerst.
    * Spathacanthus Baill.
    * Sphacanthus Benoist
    * Sphinctacanthus Benth.
    * Spirostigma Nees
    * Standleyacanthus Leonard
    * Staurogyne Wall.
    * Steirosanchezia Lindau
    * Stenandriopsis S. Moore
    * Stenandrium Nees
    * Stenostephanus Nees
    * Streblacanthus Kuntze
    * Streptosiphon Mildbr.
    * Strobilanthes Blume: Trùy hoa, mã lam
    * Strobilanthopsis S.Moore
    * Styasasia S.Moore
    * Suessenguthia Merxm.
    * Synchoriste Baill.
    * Taeniandra Bremek.
    * Tarphochlamys Bremek.
    * Teliostachya Nees
    * Tessmanniacanthus Mildbr.
    * Tetramerium Nees
    * Theileamea Baill.
    * Thomandersia Baill.
    * Thunbergia Retz.: Các đằng, dây bông báo, mắt nai, móng rồng, sơn khiên ngưu
    * Thysanostigma J.B.Imlay
    * Tremacanthus S. Moore
    * Triaenanthus Nees
    * Trichanthera Kunth
    * Trichaulax Vollesen
    * Trichocalyx Balf.f.
    * Trichosanchezia Mildbr.
    * Ulleria Bremek. (đôi khi được đưa vào chi Ruellia)
    * Vavara Benoist
    * Vindasia Benoist
    * Warpuria Stapf
    * Whitfieldia Hook.
    * Xantheranthemum Lindau
    * Xerothamnella C.T.White
    * Yeatesia Small
    * Zygoruellia Baill.",44
2,Aceraceae,"Thích (Phong, Tích thụ)","AceraceaeJuss. 1789Cây thân gỗ, ngọn non thường màu hồng nâu. Lá mọc đối, đơn nguyên hay chia thuỳ chân vịt, không lá kèm.Hoa tập hợp ở đầu cành mẫu 5 hoặc 4; không có cánh hoa; Hoa đơn tính khác gốc.Quả có 2 hạt hơi dẹt có cánh dài mỏng choãi ra hai bênThế giới có 2 / 150 loài, phân bố ở Toàn cầu, tập trung ở Trung Hoa.Việt Nam có 1 chi (Acer), gần 20 loàiPhân loại: Họ này có quan hệ với Bồ hòn - Sapindaceae và họ Kẹn - Hippocastanaceae.Công dụng: Làm cảnh và lấy gỗ (Acer spp.). ",79
3,Acoraceae,,"Họ Xương bồ (danh pháp khoa học: Acoraceae) là một họ trong thực vật có hoa. Chi duy nhất của nó là Acorus với khoảng từ 2-4 tới 7-9 loài, tùy theo nguồn dữ liệu.Mặc dù họ Acoraceae ban đầu đã được miêu tả vào năm 1820, nhưng chi Acorus theo truyền thống hay được đưa vào họ Ráy (Araceae) trong phần lớn các hệ thống phân loại kinh điển, chẳng hạn như trong hệ thống Cronquist. Họ này gần đây đã được phục hồi lại, do kết quả của các nghiên cứu hệ thống hóa ở mức phân tử chỉ ra rằng Acorus không có quan hệ họ hàng gần với họ Araceae hay bất kỳ họ thực vật một lá mầm nào. Hệ thống APG II năm 2003 (không thay đổi từ hệ thống APG năm 1998), công nhận họ này và đặt nó trong bộ của chính nó là bộ Xương bồ (Acorales), thuộc nhánh monocots.",1
4,Actinidiaceae,Dương đào,"Actinidiaceae Hutch. 1926Chủ yếu là dây leo gỗ, thân cành và lá có lông đứng thưa, ngắn và giáp. Lá hình trứng, gốc tù hay lõm, hình tim, không có kèm.Hoa đơn tính hay lưỡng tính mẫu 5 - 4; nhị nhiều lúc non bao phấn cuộn vào.Quả nang hay mọngThế giới có 3 chi, 330 loài, phân bố chủ yếu ở châu Á, một ít ở châu Mỹ. Ở Việt Nam phân bố chủ yếu ở vùng núi có khí hậu á nhiệt đới như Sa Pa, Bạch Mã, các chi Actinidia và Saurauja có trên 10 loài.Việt Nam có 2 chi, 10 loàiPhân loại: Họ này được tách ra từ họ Sổ - Dilleniaceae.Giá trị kinh tế: Quả ăn được (Acctinidia spp.). ",26
5,Adiantaceae,Tóc thần vệ nữ; Ráng vệ nữ,"ADIANTACEAE (C. Presl) Ching, 1940 Dương xỉ có thân rễ mọc bò, với lá đơn, kép lông chim hai lần, ba lần hoặc bị chia cắt nhiều, có cuống lá đen, bóng và mảnh. Các đoạn lá thường hình bình hành hay hình tam giác. Áo túi ở mép lá mở vào phía trong. Túi bào tử chứa trong ổ túi nhỏ có vách dựng lên từ lá tới áo túi.",69
6,Agavaceae,"Thàu Dứa sợi, Dứa mỹ","Họ Thùa (danh pháp khoa học: Agavaceae) là một họ thực vật bao gồm nhiều loài cây sinh sống trong khu vực sa mạc  hay các vùng có khí hậu khô như thùa (Agave  spp.), ngọc giá (Yucca  spp.) v.v. Họ này bao gồm khoảng 550-640 loài trong khoảng 18-23 chi, và phân bổ rộng khắp trong khu vực ôn đới ấm, cận nhiệt đới và nhiệt đới trên thế giới.Định nghĩa của họ này biến đổi khá rộng. Một vài chi (như Cordyline và Dracaena) đôi khi được tách riêng ra thành họ Dracaenaceae, mặc dù một số nghiên cứu gần đây có xu hướng hợp nhất chúng vào trong họ lớn là Ruscaceae. Nolina, Beaucarnea và Dasylirion đôi khi được công nhận như là họ Nolinaceae hay là một phần của họ Ruscaceae. Ngược lại, dữ liệu từ hệ thống hóa phân tử hiện tại lại gợi ý rằng họ Agavaceae nên được mở rộng ra để bao gồm một loạt các chi mà trước đây được phân loại ở những nơi khác, trong số đó có Chlorogalum, Camassia và họ Anthericaceae với khoảng 22 chi bổ sung. Hệ thống phân loại APG II của Angiosperm Phylogeny Group đặt họ Agavaceae, cùng một loạt các họ khác (bao gồm cả Ruscaceae) trong họ Asparagaceae mở rộng. Tuy nhiên, APG II cho phép một tùy chọn để giữ một số trong số các họ này, bao gồm Agavaceae, là tách rời, mặc dù trong trường hợp này thì APG khuyến cáo nên mở rộng họ ra để chứa các chi hiện tại được phân loại trong các họ Anemarrhenaceae, Anthericaceae (với Anthericum và Paradisea), Behniaceae và Herreriaceae. Phần lớn các nguồn tham chiếu đều giữ họ Agavaceae (theo các định nghĩa khác nhau) như là một họ phân biệt với họ Asparagaceae. Chi Hesperocallis, đôi khi được đặt trong họ riêng của chính nó là Hesperocallideaceae, gần đây đã được chứng minh là có quan hệ họ hàng gần gũi và việc đưa nó vào trong họ Agavaceae cũng đã được khuyến cáo (Pires và ctv. 2004).Các loài trong họ Thùa có thể là cây mọng nước hoặc không mọng nước. Nói chung, các lá của các loài trong họ này mọc trông giống như một chiếc nơ hoa hồng ở phần cuối của thân dạng gỗ, với phần thân này có thể là rất ngắn tới rất dài như ở cây Joshua. Lá của chúng có các gân lá song song, lá thường dài và nhọn mũi, thường có gai cứng ở đỉnh, đôi khi với các gai phụ mọc dọc theo mép lá.Các loài thùa được sử dụng để sản xuất các dạng đồ uống chứa cồn ở khu vực Trung Mỹ như bia pulque và rượu mezcal, trong khi các loài khác có giá trị để lấy sợi. Chúng rất phổ biến trong cảnh quan khu vực khô cằn, với nhiều loài có hoa sặc sỡ",5
7,Aizoaceae,"Phiên hạch (Hải châu, Cỏ đắng)","Aizoaceae Rudolphi 1830Cỏ bé, mọc ven biển và trên ruộng bỏ hoang. Lá mọc đối.
Cụm hoa xim. Hoa đều lưỡng tính, mẫu 5 - 3 ở tất cả các vòng trừ cánh hoa thiếu, 3 - 5 vòi nhụy. Thế giới có 10 chi, 2450 loài, phân bố ở Liên nhiệt đới trừ miền Trung của Nam Phi đến châu Á, châu Mỹ, châu Âu.Việt Nam có 2 chi, 2 loài.
Phân loại: Nó chia thành 5 phân họ, 4 trong đó dựa trên phức hệ Mesem - bryanthemum. Chi này được tách thành 125 chi và khoảng 2000 loài. Một vài tác giả coi chi này như một họ tách biệt. Họ này thuộc về Caryophyllales.Giá trị kinh tế: Làm cảnh, làm rau ăn (Glinus oppositifolius).",11
8,Alangiaceae,"Thôi ba, Thôi chanh, Quăng","Alangiaceae - Họ Thôi ba:Cây thân gỗ hoặc bụi. Lá đơn nguyên hay phân thuỳ, gốc lá thường lệch, mọc cách không có lá kèm.Hoa lưỡng tính, tập hợp thành hình xim, thường màu trắng vàng thơm, đều, mẫu 4-5, cánh hoa hình thước dài thường cuộn ra ngoài lúc nở. Nhị đẳng số và xen kẽ với cánh hoặc nhiều hơn chúng 2-4 lần. Bộ nhuỵ gồm hai lá noãn hợp thành bầu hạ 1-2 ô. Đài hình ống.Quả hạch 1 hạt ở trong đài và triền tồn tại.Thế giới có 1 chi và 20 loài, phân bố châu Á, châu Đại Dương và châu Phi, nhưng tập trung ở Đông Nam Á.Ở Việt Nam có 6-7 loài.Phân loại: Có quan hệ với Cornaceae.Giá trị kinh tế: Một số lấy gỗ, làm cảnh hay cho quả ăn (Alangium ridleyi).  ",14
9,Alismataceae,Trạch tả,"Alismataceae Vent. 1799Cây thuỷ sinh rễ có củ hay căn hành. Thân lá ở trên không khí. Lá hình mũi tên hay hình lưỡi mác hoặc hình tim.Cụm hoa mọc từ đất lên, hình chùm hay chùy, cuống có đốt, mỗi đốt có các hoa to, có cuống mọc vòng. Hoa mẫu 3, 3 cánh tràng mỏng phân biệt với 3 lá đài màu lục, bao hoa thường kép có nhiều nhị và 3 (6) lá noãn gần rời, vòi có khi dính ở gốc bầuQuả tụ, hay nhiều hạch khô. Hạt có phôi cong hình móng ngựaThế giới có 13 chi, 70 loài, phân bố ở Toàn cầu tập trung ở Tân thế giới, sống trong môi trường nước và bùn lầy.Việt Nam có 6 chi, 8 loàiPhân loại: Họ này tương tự Ranunculaceae nhưng khác nhau về giải phẫu và phôi. Nó có nhiều tính chất nguyên thủy, có thể rất gần với Limnocharitaceae qua Tenagocharis và Damasonium (Alismataceae).Giá trị kinh tế: Thức ăn cho thú, vật nuôi, một số làm cảnh và có củ ăn được",2
10,Alliaceae,Hành,"ALLIACEAE J. Agardh 1858Cây thảo có hành hay hành dạng củ, hoặc có thân rễ. Lá thường ở gốc, nguyên, đơn, dạng ống hoặc ít khi phẳng, hình  dải, hình bầu dục, có gân song song hoặc hình cung. Cụm hoa thường là tán ở ngọn những cán hoa không có lá, có khi dạng bông hay dạng chùm. Số lượng và hình dạng hoa trong tán cũng khác nhau. Hoa thường nhỏ, lưỡng tính, đều, ít khi không đều. Bao hoa gồm 6 thùy dạng cánh rời hoặc dính ở gốc, xếp 2 vòng, các thùy vòng trong thường nhỏ hơn. Nhị thường 6, xếp 2 vòng, có khi có 3 nhị sinh sản, các nhị khác thành nhị lép. Bộ nhụy hợp 3 lá noãn; vòi đơn, dạng sợi, rụng sau khi hoa nở. Bầu trên, 3 ô với 1 - 2 hay nhiều noãn trong mỗi ô. Quả nang chẻ ô, 3 góc, bị ép ở trên. Hạt có vỏ dày, nhẵn; phôi nhỏ trong nội nhũ giàu.Gồm 32 chi với 750 loài phân bố khắp thế giới.",5
