Ten_KH,Ten_TV,Mo_ta,idNganh
Anthocerotopsida,Rêu sừng,"Đặc điểmCơ thể là một bản dẹt màu lục mặt dưới có rễ giả. Trong tế bào có 1- 2 thể màuvới hạch tạo bột giống tảo Lục. Về cấu tạo giải phẫu tương đối đơn giản, gồm những tế bào nhu mô giống nhau, không phân biệt thành tế bào biểu bì. Sinh sản dinh dưỡng bằng hình thức tách nhánh của tản. Sinh sản hữu tính xảy ra trên cùng một tản hay các tản khác nhau. Túi tinh và túi trứng đều nằm sâu trong mô của thể giao tử. Trong chu trình phát triển có sự xen kẽ thế hệ.- Thể giao tử là tản mang cơ quan sinh sản hữu tính.- Thể bào tử là kết quả của sự thu tinh để tạo thành hợp tử, hợp tử phát triển thành phôi. Phôi phát triển thành thể tử nang, có khả năng quang hợp được nhờ có thể màu, có khả năng hút nước và muối khoáng. Ở một vài loài thể tử nang có khả năng sống độc lập trong một thời gian ngắn khi thể giao tử chết.Phân loạiLớp Rêu sừng chỉ có một bộ là Rêu sừng Anthocerotales, 1 họ là Anthoccrotaceae với 5- 6 chi và khoảng 320 loài.Ở Việt nam có khoảng 7 loài thuộc 2 chi: Anthoceros và Phaeoceros.Đại diện : Cây Rêu sừng Anthoceros fusciformis và Anthoceros fuscus St.Đây là loài đặc hữu ở Trung Trung Bộ .",617adc34dafff4d09faf21d1
Archeopteridopsida,Dương xỉ cổ,"Gồm những đại diện đã hoá thạch sống ở kỷ Devo - Carbon.Kích thước không lớn lắm, có lá lớn dạng kép lông chim hai lần, gân lá hình quạt, phân đôi, hoặc lá xẻ thuỳ hay lá nguyên.Trung trụ hình ống.Túi bào tử sắp đơn độc hay tập trung thành cụm trên các chồi tiêu giảm. Bào tử khác nhau. Bào tử lớn bằng 0,5 x 2 mm; bào tử nhỏ 0,2 x 2 mm và có số lượng nhiều hơn (100). Vách túi có nhiều lớp tế bào, chưa có vòng cơ để mở.Phân loại: Gồm 1 bộ, 1 họ, 3chi. Đại diên là chi Archaeopteris.",617adc34dafff4d09faf21d1
Bryopsida,Rêu thật,"Đặc điểmCác đại diện của lớp này có cơ thể phân chia thành thân và lá. Thân có cấu tạo đối xứng tỏa tròn và mang nhiều hàng lá. Cơ quan sinh sản hữu tính là túi tinh và túi trứng. Thể bào tử gồm chân, cuống và túi bào tử. Trong túi bào tử có trụ túi và bao quanh là các bào tử. Bào tử nẩy mầm cho sợi nguyên thể hiện rõ.Phân loạiLớp Rêu gồm 674 chi, với 14.645 loài xếp vào 17 bộ thuộc 3 dưới lớp: Rêu nước, Rêu đen va Rêu thật.Dưới lớp Rêu nước - SphagnobryidaeChỉ có 1 bộ, 1 họ, 1chi Sphagnum với 336 loài.Rêu nước có thân dài, nhỏ, phân cành nhiều, lá nhỏ. Ở đỉnh thân, cành ngắn, mọc dày đặc thành hình đầu, phía dưới mọc thưa hơn. Cấu tạo giải phẫu đơn giản. Thân có 3 lớp: ngoài là lớp vỏ, giữa là lớp tế bào dày màu nâu, trong là lớp tế bào màng mỏng không màu. Lá có lớp tế bào chứa 2 loại tế bào: tế bào chứa diệp lục và tế bào không diệp lục chứa nước. Thể tử nang có cuống ngắn. Túi bào tử mở bằng vòng nứt ngang. Thường Rêu nước mọc ở đầm lầy.Đại diện Rêu nước - Sphagnum cuspidatulum.Dưới lớp Rêu đen - Andreaebryidae.Chỉ có 1 bộ, 1 họ, 2 chi và 91 loài. Có đặc điểm: túi bào tử mở bằng 4 rãnh dọc, các rãnh dính nhau ở đỉnh. Nó ở vị trí trung gian giữa rêu nước và Rêu thật. Rêu đen mọc phổ biến ở Bắc Cực, Nam Cực và núi cao.Dưới lớp Rêu thật - EubryidaeLà dưới lớp lớn nhất trong lớp Rêu. Gồm 15 bộ, 80 họ, 671 chi và 14.218 loài, phân bố khắp thế giới.Đặc điểm sai khác với 2 dưới lớp trên là.- Sợi nguyên luôn luôn có dạng sợi.- Thể giao tử có dạng thân lá.- Lá có gân giữa.- Mô sình bào tử phát triển từ nội bì.Túi bào tử chín phân hoá thành một số mô. Đại diện điển hình là Rêu tường hay Rêu than: Funaria hygromctrica, Là một loài thân nhỏ, cao 1 - 3 cm. Lá xếp xoắn mọc sít nhau ở đỉnh thân, tạo thành hình đầu trong có đỉnh sinh trưởng, lá phía dưới thưa hơn. Rễ giả có dạng sợi đa bào. Thân có cấu tạo giải phẫu phức tạp hơn rêu tản: ngoài cùng là biểu bì, tiếp đến là phần vỏ có 2 lớp ngoài và trong và trong cùng bó dẫn nhỏ. Lá có hình trứng rộng, có gân giữa, gồm một lớp tế bào chứa nhiều diệp lục. Cơ quan sinh sản là túi tinh và túi trứng nằm ở đỉnh chồi, tập hợp thành nón, xen lẫn với các sợi bên. Chúng là loài khác gốc. Thế hệ giao tử chiếm ưu thế (n) so với thế hệ bào tử (2n). Đối với Rêu có một số điểm cần chú ý là hình thái ngoài rất đa dạng tròn, dẹp, mọc thẳng, mọc bò trên giá thể, treo thỏng trên cây sống ở nước... Trong cấu tạo giải phẫu ở một số chi cũng có sự biến đổi. Sinh sản dinh dưỡng có nhiều hình thức phong phú tách ngọn, chồi, sợi nguyên, rễ giả.",617adc34dafff4d09faf21cf
Charophyceae,Tảo vòng,"Tản đa bào dạng cây có thân, rễ và lá giả. Sinh sản hữu tính noãn giao, cơ quan sinh sản đa bào. Tế bào có nhiều nhân do phân chia trực phân cùng với kéo dài tế bào thành lóng chứ không hình thành vách ngăn ngang. Trung tâm tế bào là không bào lớn, lớp chất nguyên sinh nằm sát vách tế bào có nhiều thể màu hình hạt.Tản lớn lên nhờ sinh trưởng ở đỉnh. Tế bào đỉnh hình bán cầu lõm. Mỗi lần phân chia hình thành hai vách ngăn ngang tạo 3 tế bào. Tế bào đỉnh vẫn là bán cầu lõm. Tế bào giữa lồi hai mặt sau kéo dài cùng với nhân phân chia trực phân tạo lóng có nhiều nhân. Tế bào dưới lõm hai mặt phân chia dọc tạo một lớp tế bào, các tế bào ở vòng ngoài có một số không phân chia mà chỉ kéo dài thành lá, một số (ở một số loài) phân chia mạnh tạo một lớp tế bào nhỏ phủ lên lóng thành lớp vỏ và chỉ có một vài tế bào tiếp tục phân chia như tế bào đỉnh để tạo nhánh bên.Tảo vòng không có sinh sản vô tính. Sinh sản sinh dưỡng bằng cách nảy chồi từ các ""củ"" ở gốc. Sinh sản hữu tính là noãn giao. Cơ quan sinh sản cái là túi noãn nằm ở nách trên của lá. Túi noãn hình trứng gồm 5 tế bào hình dải gắn với nhau bằng mép của chúng và cùng xoắn theo một chiều tạo phòng rỗng chứa một noãn cầu. Đầu túi noãn 5 tế bào lại tách ra thành 5 mẫu. Cơ quan sinh sản đực là túi tinh nằm ở nách dưới của lá. Túi tinh hình cầu gồm 8 tế bào hình bản chia thùy kiểu hoa thị, gắn lại với nhau làm thành quả cầu rỗng. Bên trong quả cầu rồng, giữa mỗi tế bào hình hoa thị mọc lên một trụ. Đỉnh trụ có một tế bào gọi là đầu, trên đầu có 6 đầu thứ cấp. Mỗi đầu thứ cấp có 4 sợi một hàng tế bào gọi là sợi sinh tinh trùng. Mỗi sợi có từ 200-300 tế bào. Mỗi tế bào sau cho một tinh trùng xoắn có hai roi. Khi vách túi tinh và túi noãn có màu đỏ là lúc các giao tử đã chín. Tinh trùng chui ra khỏi túi tinh đến thụ tinh với noãn cầu. Hợp tử khi phát triển nhân phân chia giảm nhiễm tạo 4 nhân con, còn hợp tử hình thành hai tế bào nhờ 1 vách ngăn. Tế bào lớn chứa 3 nhân sau tiêu biến đi còn tế bào nhỏ chia đôi, một phát triển thành rễ giả, một trở thành tế bào đỉnh sinh trưởng của tản. Chi thường gặp của lớp là Chara và Nitella. Nguời ta cho rằng thực vật bậc cao có tổ tiên là từ Tảo vàng.",617adc34dafff4d09faf21d1
Chrysoaflagellaphyceae,Tảo vàng ánh lông roi,"Tản là tế bào trãn sống trong các tập đoàn palmella, là dạng hạt có vách tế bào sống đơn độc hay sống thành tập đoàn, một số có dạng sợi hay dạng bản. Trong chu trình sống không có giai đoạn chuyển động. Khi sinh sản có thể hình thành dạng amíp. Bộ  Chrysococcales có tản là các tế bào trãn sống thành tập đoàn dạng palmella; bộ Rhizochrysidales có tản dạng rễ sống đơn độc hay sống thành tập đoàn, trãn hay có vỏ cửng; Stichogloeales có tản dạng hạt, có vách tế bào, sống đơn độc hay sống thành tập đoàn; Phaeoplacales có tản dạng sợi hay dạng băn, có vách tế bào.",617adc34dafff4d09faf21c8
Chrysodiflagellaphyceae,Tảo vàng ánh hai roi,"Tản là đơn bào dạng mônát, dạng hạt sống đơn độc hay sống thành tập đoàn hay sống thành khõi kiểu palmella, một số có dạng sợi hay dạng bản. Dạng mônát và các giai đoạn chuyển động của các loài có tản dinh dưỡng không phải dạng mônát có hai roi không đều nhau và khác nhau về động lực. Bộ  Ochromonadales có dạng mônát sống thành tập đoàn hay hay palmella; Chrysapiales có dạng hạt sống đơn độc hay sống thành tập đoàn; Phaeothamniales có dạng sợi hay bản. Chi thường gặp là Mallomonas, Synura và Dinobryon (H.40) thuộc bộ Ochromonadales ở các thuỷ vực nước ngọt sạch.",617adc34dafff4d09faf21c8
Chrysomonoflagelaphyceae,Tảo vàng ánh một roi,"Đặc điểm khác biệt của lớp là dạng mônát và giai đoạn chuyển động của các loài có tản dinh dưỡng không phải mônát là chỉ có một roi. Tản là dạng mônát sống đơn độc hay sống thành tập đoàn dạng ễ, dạng palmella hay dạng hợp bào. Tảo sống tự do hay bám. Một số có dạng hạt hay dạng sợi hoặc dạng bản. Một số có vòng rễ ở đầu sau tế bào hay một cổ áo bằng chất nguyên sinh bao quanh roi ở đầu trước.",617adc34dafff4d09faf21c8
Conjugatophyceae,Tảo tiếp hợp,"Tản là đa bào dạng sợi không phân nhánh hoặc đơn bào sống đơn độc hay sống thành tập đoàn. Vách tế bào là toàn vÂn ở loài đa bào hay gồm hai mảnh ở các loài đơn bào. Tế bào có một nhân. Thể màu có một hay nhiều hình bản, hình dải hay hình hạt. Sinh sản sinh dưỡng: bằng cách phân chia tế bào ở loài sống đơn độc và bằng khúc sợi ở loài đa bào. Sinh sản vô tính bằng bất động bào tử nhưng ít gặp. Sinh sản hữu tính là tiếp hợp. Tảo sống chủ yếu ở nước ngọt, phù du, chỉ ít loài sống ở nước lợ có độ muối dưới 2%o. Lớp có tới trên 4.000 loài.",617adc34dafff4d09faf21d1
Cycadopsida,"Tuế, Thiên tuế","Tuế - Cycadopsida là lớp kém tiến hóa nhất trong ngành Hạt trần (Gymnospermae) hay ngành Thông (Pinophyta).Gồm những đại diện đang sống và đã hoá thạch. Cây lớn, không phân cành hay ít phân cành. Lá lớn, kép lông chim 1 lần. Cơ quan sinh sản tập trung thành nón, nón thường phân tính. Riêng chi Cycas chưa tập trung thành nón.- Nón đực gồm những lá bào tử nhỏ chuyển hóa mạnh tạo thành các túi phấn, bên trong chứa hạt phấn có 1 rãnh.- Nón cái gồm những lá bào tử lớn, thường tập trung ở đỉnh thân. Lá bào tử lớn phân thành 2 phần: phần không sinh sản dạng lá phân thuỳ nhiều; phần sinh sản gồm 2 dãy túi bào tử lớn tức noãn có từ 3 dến 6 noãn. Noãn có cấu tạo tương đối đơn giản. Phía trên hình thành lỗ noãn, dưới lỗ noãn có phôi tâm, bên trong có một khoang nhỏ là buồng phấn. Hạt phấn rơi vào lỗ noãn, nẩy mầm trong buồng phấn tạo thành ống phấn chứa tinh trùng. Tinh trùng vào thụ tinh với tế bào trứng tạo thành hợp tử. Hợp tử phát triển thành phôi và tạo thành hạt.",617adc34dafff4d09faf21c9
Equisetopsida,Cỏ tháp bút,"Cỏ Tháp bút hay Mộc tặc là những cây thông thường ở Châu Âu. Từ trước Plinme đặt tên là Equisetum. Trước thời Linnée một số nhà nghiên cứu nhầm lẫn với Chara của Tảo lục Linné sát nhập Equisetum vào ngành Dương xỉ và đã mô tả được 7 loài. Mãi cho đến năm 1794 người ta vẫn xem chúng là cây “có hạt phấn chứ không có cây cái”.Năm 1812, Agard đã xuất bản một tập sách nói về sự nẩy mầm của bào tử và đã được nhiều người công nhận. Từ đó người ta mới xác định Equisetum giống như những thực vật ẩn hoa khác. Khi nẩy mầm trải qua giai đoạn trung gian là nguyên tản. Sau đó người ta quan sát được cấu trúc của cơ quan sinh sản và các thể phát sinh của chúng.Đặc điểm- Cây có thân phân đốt, lá xếp thành vòng, rễ thật.- Trung trụ nguyên sinh rắn chắc hay có ruột, một số có cấu tạo thứ cấp.- Túi bào tử có vách dày, xếp theo đường xoắn ốc chứa bào từ giống nhau hoặc rất ít khác nhau, thường sinh ra ở vị trí phóng xạ trên các cuống.- Tinh trùng có nhiều roi.Phân loạiNgành Có Tháp bút gồm 3 lớp:- Lớp Lư mộc - Hyeniatopsida- Lớp Lá nêm - Sphenophyllopsida- Lớp Cỏ Tháp bút - EquisetopsidaHai lớp đầu gồm những đại diện đã hoá thạch. Riêng lớp Cỏ Tháp bút có 3 bộ với 3 họ.- Asterocalamittaceae- Calamitaceae- Equisetaceae2 họ đầu phát triển mạnh ở kỷ Carbon và bị diệt chủng ở cuối kỷ Permi. Hiện nay chỉ còn họ Cỏ Tháp bút là hiện sống đêïn nay.+ Bộ Cỏ Tháp bút - Equisetales.- Họ Cỏ Tháp bút - Equisetaceae",617adc34dafff4d09faf21d1
